,losses,accuracies,val_losses,val_accuracies,time,test_total_loss,test_total_accuracy
0,0.4182,0.641125,0.277,0.8105,90,0.123,0.9649
1,0.1621,0.858375,0.1597,0.8871,86,,
2,0.0925,0.918625,0.0796,0.9454,86,,
3,0.0515,0.9565,0.0596,0.9602,86,,
4,0.0349,0.971125,0.0374,0.9755,87,,
5,0.0273,0.9775,0.0324,0.9785,86,,
6,0.0238,0.980125,0.0246,0.984,86,,
7,0.0189,0.984375,0.0253,0.983,85,,
8,0.0197,0.98325,0.0165,0.9894,86,,
9,0.0151,0.9875,0.0218,0.9854,86,,
10,0.0164,0.986,0.0134,0.9916,87,,
11,0.0128,0.989375,0.0303,0.9786,86,,
12,0.0145,0.987625,0.0104,0.9937,87,,
13,0.0109,0.991,0.0146,0.9908,86,,
14,0.0138,0.98825,0.0101,0.9939,87,,
15,0.0096,0.992125,0.0106,0.9937,86,,
16,0.0125,0.989375,0.0102,0.9938,86,,
17,0.0087,0.992875,0.0087,0.995,86,,
18,0.0119,0.989875,0.0113,0.9929,86,,
19,0.0081,0.993375,0.0072,0.996,86,,
